trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
364,False,"{'a': 0.002, 'e': 0.7478359123843445}",25,0,-69.28307874842288,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
365,False,"{'a': 0.002, 'e': 0.7465066503774105}",20,0,-130.73886758062434,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
366,False,"{'a': 0.002, 'e': 0.7451744023448704}",30,16,-48.460235125345676,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
367,False,"{'a': 0.002, 'e': 0.7438391736157144}",20,0,-159.77773306734002,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
368,False,"{'a': 0.002, 'e': 0.7425009695308558}",30,8,-118.52334019420798,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 3}",1
369,False,"{'a': 0.002, 'e': 0.7411597954431091}",20,3,-34.40446257320215,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
370,False,"{'a': 0.002, 'e': 0.7398156567171686}",25,0,-189.93447591034433,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
371,False,"{'a': 0.002, 'e': 0.7384685587295879}",25,0,-42.780160147502585,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
372,False,"{'a': 0.002, 'e': 0.7371185068687569}",20,0,-17.265587791924936,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
373,False,"{'a': 0.002, 'e': 0.7357655065348812}",20,10,-17.769729562618508,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
374,False,"{'a': 0.002, 'e': 0.7344095631399603}",25,0,-101.26584886320907,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
375,False,"{'a': 0.002, 'e': 0.7330506821077661}",25,0,-29.355974790732873,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
376,False,"{'a': 0.002, 'e': 0.7316888688738209}",25,0,-110.23987567591682,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
377,False,"{'a': 0.002, 'e': 0.7303241288853758}",30,16,-52.87595395062526,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
